"site","replicate","filtered_volume_ml","sample_volume_ml","raw_fluo","adjusted_raw","chl_conc"
"LI-1","1",150,10,5.55,5.49482897,0.366321931
"LI-1","2",150,10,4.04,3.98482897,0.265655265
"LI-1","3",125,10,4.59,4.53482897,0.362786318
"LI-2","1",150,10,5.24,5.18482897,0.345655265
"LI-2","2",150,10,4.28,4.22482897,0.281655265
"LI-2","3",150,10,4.29,4.23482897,0.282321931
"LI-3","1",150,10,6.49,6.43482897,0.428988598
"LI-3","2",150,10,8.73,8.67482897,0.578321931
"LI-3","3",150,10,6.43,6.37482897,0.424988598
"KD-1","1",150,10,3.73,3.67482897,0.244988598
"KD-1","2",180,10,3.04,2.98482897,0.165823832
"KD-1","3",180,10,5.19,5.13482897,0.285268276
"KD-2","1",150,10,5.99,5.93482897,0.395655265
"KD-2","2",150,10,6.18,6.12482897,0.408321931
"KD-2","3",150,10,7.07,7.01482897,0.467655265
"BGO-1","1",150,10,5.31,5.25482897,0.350321931
"BGO-1","2",150,10,7.99,7.93482897,0.528988598
"BGO-1","3",150,10,9.34,9.28482897,0.618988598
"BGO-2","1",150,10,5.77,5.71482897,0.380988598
"BGO-2","2",150,10,5.53,5.47482897,0.364988598
"BGO-2","3",150,10,7.41,7.35482897,0.490321931
"BGO-3","1",75,10,5.95,5.89482897,0.785977196
"BGO-3","2",65,10,7.61,7.55482897,1.16228138
"BGO-3","3",70,10,20.9,20.84482897,2.97783271
"BK-1","1",150,10,7.81,7.75482897,0.516988598
"BK-1","2",150,10,9.06,9.00482897,0.600321931
"BK-1","3",150,10,9.55,9.49482897,0.632988598
"BK-2","1",150,10,12.3,12.24482897,0.816321931
"BK-2","2",150,10,11.4,11.34482897,0.756321931
"BK-2","3",150,10,13.1,13.04482897,0.869655265
"BK-3","1",150,10,9.69,9.63482897,0.642321931
"BK-3","2",150,10,11.1,11.04482897,0.736321931
"BK-3","3",150,10,13,12.94482897,0.862988598
"OS-1","1",200,10,27.8,27.74482897,1.387241448
"OS-1","2",180,10,23.8,23.74482897,1.319157165
"OS-1","3",150,10,21.7,21.64482897,1.442988598
"OS-2","1",180,10,13.6,13.54482897,0.752490498
"OS-2","2",180,10,11,10.94482897,0.608046054
"OS-2","3",180,10,14.9,14.84482897,0.824712721
"OS-3","1",150,10,17.4,17.34482897,1.156321931
"OS-3","2",150,10,22.7,22.64482897,1.509655265
"OS-3","3",150,10,18.9,18.84482897,1.256321931
"EM-1","1",150,10,13.8,13.74482897,0.916321931
"EM-1","2",150,10,12.3,12.24482897,0.816321931
"EM-1","3",150,10,12.6,12.54482897,0.836321931
"MS-1","1",150,10,7.76,7.70482897,0.513655265
"MS-1","2",150,10,9.32,9.26482897,0.617655265
"MS-1","3",150,10,10.8,10.74482897,0.716321931
"SM-1","1",150,10,18.4,18.34482897,1.222988598
"SM-1","2",150,10,20.4,20.34482897,1.356321931
"SM-1","3",110,10,15.6,15.54482897,1.41316627
