"site","replicate","nh4_mg_dm3","no3_mg_dm3","tp_mg_dm3","tpo43_mg_dm3"
"BK-1",1,0.003,0.08,0.018,0.055
"BK-1",2,0.003,0.09,0.017,0.053
"BK-2",1,0.003,0.08,0.017,0.053
"BK-2",2,0.003,0.09,0.017,0.051
"BK-3",1,0.069,0.09,0.015,0.045
"BK-3",2,0.067,0.09,0.015,0.045
"BGO-1",1,0.014,0.09,0.015,0.045
"BGO-1",2,0.015,0.08,0.014,0.043
"BGO-2",1,0.001,0.08,0.012,0.038
"BGO-2",2,0.001,0.08,0.013,0.039
"BGO-3",1,0.001,0.09,0.014,0.043
"BGO-3",2,0.001,0.09,0.015,0.045
"KD-1",1,0.003,0.06,0.012,0.037
"KD-1",2,0.004,0.07,0.012,0.038
"KD-2",1,0.001,0.1,0.015,0.045
"KD-2",2,0.001,0.1,0.014,0.044
"LI-1",1,0.004,0.08,0.012,0.038
"LI-1",2,0.004,0.08,0.013,0.039
"LI-2",1,0.092,0.1,0.025,0.077
"LI-2",2,0.09,0.09,0.025,0.078
"LI-3",1,0.004,0.08,0.025,0.076
"LI-3",2,0.003,0.08,0.025,0.078
"SM-1",1,0.001,0.09,0.048,0.148
"SM-1",2,0.001,0.08,0.048,0.147
"MS-1",1,0.001,0.09,0.02,0.06
"MS-1",2,0.001,0.09,0.02,0.062
"EM-1",1,0.111,0.19,0.03,0.092
"EM-1",2,0.114,0.18,0.03,0.092
"OS-1",1,0.001,0.09,0.02,0.062
"OS-1",2,0.001,0.08,0.02,0.06
"OS-2",1,0.001,0.08,0.025,0.078
"OS-2",2,0.001,0.08,0.025,0.078
"OS-3",1,0.001,0.08,0.025,0.078
"OS-3",2,0.001,0.08,0.026,0.081
