"Site","SOUTH_DEV_DIST","NORTH_DEV_DIST","POP_SOUTH_DEV","POP_NORTH_DEV","SOUTH_SHORE_DIST","NORTH_SHORE_DIST","SOUTH_SHORE_AREA","NORTH_SHORE_AREA"
"BK-1",0.22,18.61,80,600,1.19,1.65,0.33,2.43
"BGO-3",1.54,0,600,0,1.65,0,2.43,0
"BK-2",10.44,0.22,2000,100,4.61,1.19,2.03,0.33
"BK-3",0.94,17.74,80,600,1.19,1.65,0.33,2.43
"BGO-1",18.61,1.54,80,600,1.19,1.65,0.33,2.43
"BGO-2",17.54,1.14,80,600,1.19,1.65,0.33,2.43
"KD-1",8.29,10.39,80,600,1.19,1.65,0.33,2.43
"KD-2",6.63,12.05,80,600,1.19,1.65,0.33,2.43
"MS-1",3.4,15.28,80,600,1.19,1.65,0.33,2.43
"SM-1",5.23,4.48,2000,100,4.61,1.19,2.03,0.33
"OS-1",NA,NA,NA,NA,NA,NA,NA,NA
"OS-2",NA,NA,NA,NA,NA,NA,NA,NA
"EM-1",3.34,6.37,2000,100,4.61,1.19,2.03,0.33
"LI-1",0,1.68,0,2000,0,4.61,0,2.03
"LI-2",0.73,9.71,2000,100,4.61,1.19,2.03,0.33
"LI-3",1.68,0.73,2000,2000,4.61,4.61,2.03,2.03
"OS-3",NA,NA,NA,NA,NA,NA,NA,NA
