"site","replicate","total_microplastics","density","fragment_density","fiber_density","bead_density"
"BK-1","1",0,0,0,0,0
"BK-1","2",0,0,0,0,0
"BK-1","3",3.5,0.00333333333333333,0,0.00333333333333333,0
"BK-1","4",0,0,0,0,0
"BK-2","1",3,0.00214285714285714,0.000714285714285714,0.00142857142857143,0
"BK-2","2",0,0,0,0,0
"BK-2","3",3,0.00214285714285714,0.00214285714285714,0,0
"BK-3","1",7,0.005,0.00285714285714286,0.00214285714285714,0
"BK-3","2",4,0.00285714285714286,0.00142857142857143,0.00142857142857143,0
"BK-3","3",7,0.005,0.005,0,0
"KD-1","1",1,0.000714285714285714,0,0.000714285714285714,0
"KD-1","2",1,0.000714285714285714,0,0.000714285714285714,0
"KD-1","3",0,0,0,0,0
"KD-2","1",5,0.00357142857142857,0.00214285714285714,0.00142857142857143,0
"KD-2","2",3,0.00214285714285714,0,0.00214285714285714,0
"KD-2","3",3,0.00214285714285714,0,0.00214285714285714,0
"EM-1","1",1,0.000714285714285714,0,0.000714285714285714,0
"EM-1","2",0,0,0,0,0
"EM-1","3",0,0,0,0,0
"SM-1","1",5,0.00357142857142857,0,0.00357142857142857,0
"SM-1","2",0,0,0,0,0
"SM-1","3",2,0.00142857142857143,0,0.00142857142857143,0
"MS-1","1",0,0,0,0,0
"MS-1","2",1,0.000714285714285714,0,0.000714285714285714,0
"MS-1","3",0,0,0,0,0
"OS-1","1",1,0.000714285714285714,0.000714285714285714,0,0
"OS-1","2",4,0.00285714285714286,0.00285714285714286,0,0
"OS-1","3",5,0.00357142857142857,0.00357142857142857,0,0
"OS-2","1",0,0,0,0,0
"OS-2","2",5,0.00357142857142857,0.000714285714285714,0.00285714285714286,0
"OS-2","3",4,0.00285714285714286,0,0.00285714285714286,0
"OS-3","1",3,0.00214285714285714,0,0.00214285714285714,0
"OS-3","2",2,0.00142857142857143,0,0.00142857142857143,0
"OS-3","3",4,0.00285714285714286,0,0.00285714285714286,0
"LI-3","1",2,0.00142857142857143,0.00142857142857143,0,0
"LI-3","2",1,0.000714285714285714,0,0,0.000714285714285714
"LI-3","3",2,0.00142857142857143,0,0,0.00142857142857143
"LI-2","1",5,0.00357142857142857,0.00214285714285714,0.00142857142857143,0
"LI-2","2",2,0.00142857142857143,0.00142857142857143,0,0
"LI-2","3",4,0.00285714285714286,0.000714285714285714,0.00214285714285714,0
"LI-1","1",7,0.005,0.005,0,0
"LI-1","2",8,0.00571428571428571,0.00428571428571429,0,0.00142857142857143
"LI-1","3",5,0.00357142857142857,0.00214285714285714,0.000714285714285714,0.000714285714285714
"BGO-1","1",3,0.00214285714285714,0.00214285714285714,0,0
"BGO-1","2",1,0.000714285714285714,0.000714285714285714,0,0
"BGO-1","3",1,0.000714285714285714,0.000714285714285714,0,0
"BGO-2","1",1,0.000714285714285714,0,0.000714285714285714,0
"BGO-2","2",8,0.00571428571428571,0.000714285714285714,0.005,0
"BGO-2","3",0,0,0,0,0
"BGO-3","1",0,0,0,0,0
"BGO-3","2",0,0,0,0,0
"BGO-3","3",0,0,0,0,0
