"year","month","day","time","location","site","loc_site","site_desc","lat","long","depth","dist_to_shore","air_temp","surface_temp","mid_temp","bottom_temp","comments","shore_photo","substrate_photo","FA_algae","FA_invert","comp_benth_algae","comp_invert","benth_algae_biomass","chlorophyll","microplastics","wastewater","sediment","nutrients","sponges","brandtia"
2015,8,19,"14:50","BK",1,"BK-1","Central Bol'shie Koty at mouth of Bol'shaya Kotinka",51.90316,105.07404,0.7,10,18,14,13,13,"depth and distance to shore are estimates","y","y",2,6,3,3,3,3,"4 + 2 control",1,3,1,"n","n"
2015,8,20,"08:49","BK",2,"BK-2","Outside BK at LIN dock",51.90365,105.069,0.9,17.5,19,13,13,13,,"y","y",5,11,3,3,3,3,"3 + control",1,3,2,"y","n"
2015,8,20,"11:00","BK",3,"BK-3","North of BK",51.90536,105.0957,0.8,10,18,14,14,14,"two algal fatty acid samples are missing, but there probably wasn't enough biomass in them anyway. Nutrient bottle #2 broke in freezer, was thawed and transferred to new bottle","y","y",6,10,3,3,3,3,"3 + control",1,3,2,"y","y"
2015,8,21,"08:41","BGO",1,"BGO-1","Near church in Bol'shoe Goloustnoe",52.02693,105.40102,0.9,18,20,13,13,13,,"y","y",5,10,3,3,3,3,"3 + control",1,3,2,"n","n"
2015,8,21,"10:02","BGO",2,"BGO-2","Outside Bol'shoe Goloustnoe",52.0197,105.37707,1.1,14,19,14,14,14,"windy, waves","y","y",5,10,3,3,3,3,"3 + control",1,3,2,"y","y"
2015,8,21,"18:35","BGO",3,"BGO-3","Mouth of river at Bol'shoe Goloustnoe",52.02649,105.43577,0.7,21,18,16,16,16,"very windy, smells gross. High turbidity (substrate not visible in substrate photo, but it's medium sized cobble). No draparnaldia present.","y","y",4,6,3,3,3,3,"3 + control",1,1,2,"n","n"
2015,8,22,"06:48","OS",1,"OS-1","Pelagic site",51.98559,105.47237,900,"NA",15,"NA","NA","NA","offshore sample; depth is an estimate","n","n","NA","NA","NA","NA","NA",3,"3 + control",1,"NA",2,"n","n"
2015,8,22,"08:28","KD",1,"KD-1","Maloe Kadilnoe",51.92646,105.24504,0.8,20.75,23,"NA","NA","NA","Warm, sunny, a little hazy from smoke. Forgot to take water temp","y","y",5,9,3,3,3,3,"3 + control",1,1,2,"n","n"
2015,8,22,"10:15","KD",2,"KD-2","Maloe Kadilnoe",51.91807,105.21456,0.9,14.5,23,16,15,15,"warm, sunny, calm but wind starting to pick up, hazy","y","y",5,8,3,3,3,3,"3 + control",1,1,2,"n","n"
2015,8,22,"13:07","MS",1,"MS-1","Mys Soboliny",51.89863,105.15017,0.6,10.5,21,17,16,16,"sunny, warm, windy, quite wavy","y","y",5,7,3,3,3,3,"3 + control",1,1,2,"y","y"
2015,8,22,"18:20","SM",1,"SM-1","Sredny Mys",51.87152,104.98006,0.9,11.5,21,15,15,15,"sunny (but sun going down), a bit windy. Campfire remnants and trash nearby. Nutreint bottle #1 broke in freezer, was thawed and transferred to new bottle.","y","y",5,7,3,3,3,3,"3 + control",1,1,2,"n","n"
2015,8,23,"08:01","LI",1,"LI-1","Listvyanka at Baikal museum",51.86825,104.83042,0.6,8.9,19,14,14,14,"some waves, hazy with smoke","y","y",3,4,3,3,3,3,"3 + control",1,1,2,"n","n"
2015,8,23,"10:21","LI",2,"LI-2","Listvyanka at Nerpinarium",51.84626,104.87356,0.8,9.4,21,15,15,15,"sunny, not too wavy. Both nutrient bottles broke in freezer, were thawed and transferred to new bottles","y","y",3,8,3,3,3,3,"3 + control",1,1,2,"n","n"
2015,8,23,"12:00","LI",3,"LI-3","Listvyanka",51.85407,104.86216,0.7,9.25,19.5,15,14,14,"sunny, not too wavy. Nutrient bottle #2 broke in freezer, was thawed and transferred to new bottle","y","y",6,7,3,3,3,3,"3 + control",1,1,2,"y","y"
2015,8,23,"15:32","EM",1,"EM-1","Emelyanikha",51.86005,104.93999,0.7,15.5,24.5,14,14,14,"calm, hazy with smoke. Invertebrate samples are erroneously labeled EM-2.  Both nutrient bottles broke in freezer, were thawed and transferred to new bottles","y","y",3,7,3,3,3,3,"3 + control",1,1,2,"n","n"
2015,8,23,"17:15","OS",2,"OS-2","Pelagic site",51.8553,104.8148,1300,"NA",21,"NA","NA","NA","offshore sample; depth is an estimate. Nutrient bottle #2 broke in freezer, was thawed and transferred to new bottle","n","n","NA","NA","NA","NA","NA",3,"3 + control",1,"NA",2,"n","n"
2015,8,23,"NA","OS",3,"OS-3","Pelagic site",51.859108,105.0769,1400,5000,"NA",14.5,"NA","NA","offshore sample; depth is an estimate. Nutrient bottle #2 broke in freezer, was thawed and transferred to new bottle","n","n","NA","NA","NA","NA","NA",3,"3 + control",1,"NA",2,"n","n"
