Chlorophyll,Station,Replicate,"Filtered volume, ml","Sample Volume, ml",Raw Fluo,Adjusted Raw,chl_conc
Standart#1,,,,,0.135,0.129902698,
1,LI-1,3-Jan,150,10,5.55,5.49482897,0.366321931
2,LI-1,3-Feb,150,10,4.04,3.98482897,0.265655265
3,LI-1,3-Mar,125,10,4.59,4.53482897,0.362786318
4,LI-2,3-Jan,150,10,5.24,5.18482897,0.345655265
5,LI-2,3-Feb,150,10,4.28,4.22482897,0.281655265
6,LI-2,3-Mar,150,10,4.29,4.23482897,0.282321931
7,LI-3,3-Jan,150,10,6.49,6.43482897,0.428988598
8,LI-3,3-Feb,150,10,8.73,8.67482897,0.578321931
9,LI-3,3-Mar,150,10,6.43,6.37482897,0.424988598
10,KD-1,3-Jan,150,10,3.73,3.67482897,0.244988598
11,KD-1,3-Feb,180,10,3.04,2.98482897,0.165823832
12,KD-1,3-Mar,180,10,5.19,5.13482897,0.285268276
13,KD-2,3-Jan,150,10,5.99,5.93482897,0.395655265
14,KD-2,3-Feb,150,10,6.18,6.12482897,0.408321931
15,KD-2,3-Mar,150,10,7.07,7.01482897,0.467655265
16,BGO-1,3-Jan,150,10,5.31,5.25482897,0.350321931
17,BGO-1,3-Feb,150,10,7.99,7.93482897,0.528988598
18,BGO-1,3-Mar,150,10,9.34,9.28482897,0.618988598
19,BGO-2,3-Jan,150,10,5.77,5.71482897,0.380988598
20,BGO-2,3-Feb,150,10,5.53,5.47482897,0.364988598
21,BGO-2,3-Mar,150,10,7.41,7.35482897,0.490321931
22,BGO-3,3-Jan,75,10,5.95,5.89482897,0.785977196
23,BGO-3,3-Feb,65,10,7.61,7.55482897,1.16228138
24,BGO-3,3-Mar,70,10,20.9,20.84482897,2.97783271
25,BK-1,3-Jan,150,10,7.81,7.75482897,0.516988598
26,BK-1,3-Feb,150,10,9.06,9.00482897,0.600321931
27,BK-1,3-Mar,150,10,9.55,9.49482897,0.632988598
28,BK-2,3-Jan,150,10,12.3,12.24482897,0.816321931
29,BK-2,3-Feb,150,10,11.4,11.34482897,0.756321931
30,BK-2,3-Mar,150,10,13.1,13.04482897,0.869655265
31,BK-3,3-Jan,150,10,9.69,9.63482897,0.642321931
32,BK-3,3-Feb,150,10,11.1,11.04482897,0.736321931
33,BK-3,3-Mar,150,10,13,12.94482897,0.862988598
34,OS-1,3-Jan,200,10,27.8,27.74482897,1.387241448
35,OS-1,3-Feb,180,10,23.8,23.74482897,1.319157165
36,OS-1,3-Mar,150,10,21.7,21.64482897,1.442988598
37,OS-2,3-Jan,180,10,13.6,13.54482897,0.752490498
38,OS-2,3-Feb,180,10,11,10.94482897,0.608046054
39,OS-2,3-Mar,180,10,14.9,14.84482897,0.824712721
40,OS-3,3-Jan,150,10,17.4,17.34482897,1.156321931
41,OS-3,3-Feb,150,10,22.7,22.64482897,1.509655265
42,OS-3,3-Mar,150,10,18.9,18.84482897,1.256321931
43,EM-1,3-Jan,150,10,13.8,13.74482897,0.916321931
44,EM-1,3-Feb,150,10,12.3,12.24482897,0.816321931
45,EM-1,3-Mar,150,10,12.6,12.54482897,0.836321931
46,MS-1,3-Jan,150,10,7.76,7.70482897,0.513655265
47,MS-1,3-Feb,150,10,9.32,9.26482897,0.617655265
48,MS-1,3-Mar,150,10,10.8,10.74482897,0.716321931
49,SM-1,3-Jan,150,10,18.4,18.34482897,1.222988598
50,SM-1,3-Feb,150,10,20.4,20.34482897,1.356321931
51,SM-1,3-Mar,110,10,15.6,15.54482897,1.41316627
