Invertebrate,MS1-3,SM1-3,SM1-1,SM1-2,MS1-1,KD2-1,MS1-2,KD2-2,EM1-2,EM1-3,BK1-1,BK1-2,BK2-2,BK2-1,BGO2-1,BGO2-3,BGO2-2,BGO1-2,BGO3-1,BGO3-2,BK3-1,BK3-2,BK3-3,BGO2-2,LI3-1B1,LI2-3,LI2-1,LI2-2,LI3-1B2,BGO1-1,BGO3-3,KD1-2,BGO3-1,BGO1-3,LI1-3,BGO1-2,BGO3-2,EM1-1,LI3-3,LI3-2,BK1-3,
Acroloxidae,,,,,,,,7,,,2,2,,,,1,,,,,1,,,1,,1,,,,,,5,,,,,,,,,,
Asellidae,0,0,0,2,,11,,6,,,,,6,11,20,3,3,,,,1,5,1,5,,,,,,7,,,,,,,,,,,,
Baicaliidae,8,2,,,,30,1,25,5,,,,11,47,7,4,7,10,1,,,2,2,5,,,,,,20,,10,,5,,6,,1,,,,
Benedictidate,,,,,,,,,,,,,,8,3,1,4,3,,1,1,2,3,5,,,,1,,29,,11,1,6,,5,,,,,,
Brandtia latissima intermida,0,1,,,,,,,1,,4,1,5,,2,5,1,,,,5,4,2,,2,1,,,,,,13,,,3,,,1,,1,2,
Brandtia latissima lata,,,,,,9,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandtia latissima latior,0,10,9,8,28,16,7,33,2,,9,5,13,64,9,6,10,,,,2,14,5,9,1,1,,,,,,26,,1,,,1,5,6,2,13,
Brandtia latissima latissima ,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandtia latissima lora,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandtia parasitica parasitica,0,10,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caddisflies,143,27,27,19,57,30,106,18,18,,28,3,7,4,62,46,65,3,1,1,13,3,13,43,,1,,,1,4,5,,,1,2,2,,59,7,,8,
choronomids ,11,9,5,21,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptoropus inflatus,,,,,3,3,,11,68,19,32,30,12,18,10,6,10,2,3,7,14,8,11,15,2,10,7,10,2,3,4,12,,1,5,6,,,3,,34,
Cryptoropus pachytus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,2,,,,,,,,
Cryptoropus rugosus,,,,,,,,,,,,,5,14,10,8,10,4,,2,,4,,9,,2,3,1,,33,2,5,1,12,1,12,1,,,,3,
E capreolus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,1,,,,,,,,,,,
E cruentes,0,3,,1,,24,,14,,,,,,18,9,,,,,,,,,,,,,,,,,,,3,,1,,,,,,
E cyaneus,38,27,11,16,3,,,13,226,133,3,,,6,4,,5,,,,,3,7,,6,1,9,8,49,23,4,10,3,9,35,4,,129,42,42,14,
E grandimanus,,,,,,,,,,48,,,8,7,,19,7,1,,,2,7,2,2,,,,1,10,1,,2,,,,,,,,2,,
E maacki,28,20,19,17,1,15,,5,26,6,18,17,4,17,7,15,9,,,,11,19,6,14,,,,1,6,9,1,16,,4,1,5,,20,6,12,20,
E marituji,,,,,,2,,,8,,5,,,,,,,,,,,1,1,,,,,,,2,,,,,,,,,,,33,
E verucossus,32,30,15,22,44,13,83,6,25,33,44,7,19,18,3,5,18,4,6,2,12,9,13,21,17,4,22,6,36,14,18,27,3,,31,1,2,52,34,23,27,
E viridis virids,0,5,8,,5,32,,,11,,,13,11,,7,1,4,,,,,,1,8,2,,8,,7,5,,13,,15,,6,1,1,,7,,
E vittatus,28,7,10,3,3,14,,10,11,10,23,24,3,5,4,5,11,11,,,4,26,13,29,11,11,12,7,47,25,2,24,1,13,8,7,,13,14,13,2,
Eulimno juveniles,47,517,222,384,69,175,76,606,179,158,93,50,180,406,164,87,63,23,2,2,162,419,178,63,128,30,104,56,536,104,25,436,5,60,858,56,,240,203,327,64,
flatworms ,9,2,4,5,12,1,3,6,12,13,33,3,11,13,,,,,,,,,1,,2,,1,,3,,1,,1,1,1,2,,6,10,4,10,
hyallela cziarnianski ,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leeches,18,21,13,23,12,7,6,22,21,7,43,2,15,10,10,3,8,1,1,1,42,44,,1,21,2,11,4,7,16,10,12,2,6,10,,7,18,23,18,47,
Maackia spp,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pallasea brandtia brandita,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pallasea brandtii tenera,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pallasea cancelloides,,,,,,,3,,,,5,9,,,9,1,2,,,6,2,1,,,4,1,5,,,8,4,,,6,,3,7,,5,9,11,
pallasea cancellus ,1,0,,,,9,,6,1,,,,,,,,6,,,,5,7,,4,,2,3,2,,,1,7,1,2,,,,1,,,,
pallasea viridis,0,16,11,16,,,,,,,,,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planorbidae,4,4,,,,,,,,,,,,57,21,23,19,8,3,,1,1,1,16,,1,1,,,22,3,39,2,11,1,9,3,4,,,1,
Poekilo crassimus,138,43,72,101,45,34,86,20,153,132,139,71,17,67,48,44,59,18,9,13,16,75,21,54,40,47,59,23,42,26,78,88,3,21,20,5,49,23,85,76,158,
poekilo ephippiatus,26,11,8,11,16,4,6,6,6,28,17,25,1,8,10,7,8,,65,60,7,12,7,6,,18,37,32,2,2,58,4,13,,4,,,5,27,3,14,
Poekilo Juveniles,127,146,413,478,124,53,75,100,431,108,670,225,111,97,342,280,137,76,63,70,122,244,98,132,103,327,608,511,148,324,128,482,39,137,292,80,54,481,475,344,579,
poekilo megonychus perpolitus,60,10,8,16,5,3,,2,5,5,18,5,,4,8,5,3,1,,2,,2,2,2,,4,3,4,1,2,2,4,2,,,,38,,,4,64,
poekilo pictus,31,19,42,63,5,,7,5,18,,,14,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
Propapaidae,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
valvatidae,,4,2,19,8,45,15,80,13,1,4,2,12,23,90,4,9,,3,,,,,4,,,,,,14,2,33,,,,,,6,,,,
Total,825,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
