location,site,rep,volume,volume_rep,fragments,fibers,beads,date,comments
BK,1,1,350,3,3,4,0,20171009,
BK,1,2,350,3,3,2,0,20171009,
BK,1,3,350,3,3,10,0,20171009,Lots of blue fibers 
BK,1,4,350,3,2,5,0,20171009,
BK,1,C,350,3,6,7,0,20171009,
BK,1,C,350,3,2,6,0,20171009,
BK,2,1,350,4,4,4,0,20171003,
BK,2,2,350,4,2,0,0,20171003,
BK,2,3,350,4,6,1,0,20171003,
BK,2,C,350,4,3,2,0,20171003,
BK,3,1,350,4,4,6,0,20171003,
BK,3,2,350,4,2,5,0,20171003,
BK,3,3,350,4,7,2,0,20171003,
BK,3,C,350,4,0,3,0,20171003,
KD,1,1,350,4,0,8,0,20171009,Sample container has site listed as 'DK'
KD,1,2,350,4,0,8,0,20171009,
KD,1,3,350,4,1,6,0,20171009,
KD,1,C,350,4,1,7,0,20171009,
KD,2,1,350,4,3,4,0,20171009,
KD,2,2,350,4,0,5,0,20171009,
KD,2,3,350,4,0,5,0,20171009,
KD,2,C,350,4,0,2,0,20171009,
EM,1,1,350,4,0,12,0,20171009,
EM,1,2,350,4,0,3,0,20171009,
EM,1,3,350,4,0,8,0,20171009,
EM,1,C,350,4,0,11,0,20171009,
SM,1,1,350,4,0,9,0,20171009,
SM,1,2,350,4,0,4,0,20171009,
SM,1,3,350,4,0,6,0,20171009,
SM,1,C,350,4,0,4,0,20171009,
MS,1,1,350,4,0,4,0,20171009,
MS,1,2,350,4,2,5,0,20171009,
MS,1,3,350,4,1,3,0,20171009,
MS,1,C,350,4,3,4,0,20171009,
OS,1,1,350,4,1,11,0,20171010,
OS,1,2,350,4,4,9,0,20171010,
OS,1,3,350,4,5,10,0,20171010,
OS,1,C,350,4,0,11,0,20171010,
OS,2,1,350,4,0,0,0,20171010,
OS,2,2,350,4,1,7,0,20171010,
OS,2,3,350,4,0,7,0,20171010,
OS,2,C,350,4,0,3,0,20171010,
OS,3,1,350,4,0,4,0,20171010,
OS,3,2,350,4,1,3,0,20171010,
OS,3,3,350,4,1,5,0,20171010,
OS,3,C,350,4,1,1,0,20171010,
LI,3,1,350,4,4,1,0,20171010,
LI,3,2,350,4,1,6,1,20171010,
LI,3,3,350,4,0,3,2,20171010,
LI,3,C,350,4,2,6,0,20171010,
LI,2,1,350,4,3,5,0,20171010,
LI,2,2,350,4,2,2,0,20171010,
LI,2,3,350,4,1,6,0,20171010,"Sample fell on floor and lid fell off prior to enumeration. GF/F remained within lid, and did not appear damaged/dirty. "
LI,2,C,350,4,0,3,1,20171010,
LI,1,1,350,4,7,3,0,20171010,
LI,1,2,350,4,6,0,2,20171010,
LI,1,3,350,4,3,4,1,20171010,
LI,1,C,350,4,0,3,0,20171010,
BGO,1,1,350,4,3,1,0,20171010,
BGO,1,2,350,4,1,5,0,20171010,
BGO,1,3,350,4,1,4,0,20171010,
BGO,1,C,350,4,0,6,0,20171010,
BGO,2,1,350,4,1,6,0,20171010,
BGO,2,2,350,4,2,12,0,20171010,
BGO,2,3,350,4,1,2,0,20171010,
BGO,2,C,350,4,1,5,0,20171010,
BGO,3,1,350,3,1,4,0,20171010,
BGO,3,2,350,3,1,0,0,20171010,
BGO,3,3,350,3,2,1,0,20171010,
BGO,3,C,350,3,2,8,0,20171010,
