C13,N15,Identifier,comments
-15.06,7.09,MS-1 E. ver - A,
-11.7,7.53,BGO-1 P. can - A,C13 outside range of standards
-14.29,6.63,BGO-1 E. ver - A,
-12.89,7.22,BGO-2 P. can - A,C13 outside range of standards
-15.1,7.44,LI-1 E. veruossus,
-14.03,7.01,BGO-1 E. vitetus,
-13.52,7.35,EM-1 E. vitetus,
-14.18,7.35,SM-1 E. vitetus,
-12.18,7.33,BK-2 P. can - A,C13 outside range of standards
-13.71,7.07,SM-1 E. ver - A (#1),
-13.72,7.77,SM-1 E. ver - A (#2),
-13.9,6.42,BGO-2 E. ver - B,
-13.59,6.79,MS-1 E. vitetus,
-11.06,3.62,BGO-1 Sp. zone,C13 outside range of standards
-14.53,2.14,EM-1 Sp. zone,
-20.21,0.77,BGO-2 Sp. zone,
-12.62,3.76,BK-2 Sp. zone,C13 outside range of standards
-14.32,1.72,SM-1 Sp. zone,
-18.9,7.4,MS-1 E. cyan,
-16.54,7.92,SM-1 E. cyan,
-13.94,7.66,EM-1 E. cyan (#1),
-14.08,7.7,EM-1 E. cyan (#2),
