"","Mean","Variance","Var_Mean_Ratio"
"c18_3w3",0.160236765736331,0.022484089811524,0.140317920847963
"c18_1w9",0.14071724387474,0.0121024361289074,0.0860053522628714
"c16_4w3",0.0647749029383139,0.00378028903841347,0.0583603968038902
"c20_5w3",0.0955192577024497,0.00520145003827188,0.0544544646114694
"c20_4w6",0.0138799548808799,0.00060016908186471,0.0432399879549655
"c18_4w3",0.0705442324799892,0.00269236402578839,0.0381656151203022
"c16_1w5",0.00291657819297592,9.39926895328605e-05,0.0322270425525453
"c20_2w6",0.00564336894135942,0.000111152576885896,0.0196961386081415
"c16_1w7",0.0610762444173379,0.00120117623718753,0.0196668319842952
"c22_6w3",0.0205393010114268,0.000354471643098318,0.0172582135536702
"c16_0",0.161524476090097,0.00260121688578482,0.0161041654413656
"c22_5w3",0.0116894091628712,0.000181520953781452,0.0155286679807575
"c18_0",0.0166528759417281,0.000198282190394044,0.0119067836143064
"c18_2w6",0.0463715077082761,0.000477471964163809,0.0102966668059963
"c14_0",0.0361117256231547,0.00026870125899423,0.00744083131884288
"c16_4w1",0.00609328621336736,4.14868036022185e-05,0.00680860904107957
"c16_3w3",0.00967556661924288,6.56342322422133e-05,0.00678350269550924
"c22_5w6",0.00240508289116168,1.56268541912781e-05,0.006497428528848
"c18_1w7",0.0223506764999816,0.000130077328408316,0.00581983853636033
"c16_2w6",0.0074716808510871,3.58089970469105e-05,0.00479262936420797
"c20_0",0.00749882518381543,2.49087070740733e-05,0.0033216812585301
"c20_3w3",0.00546025612361292,1.60874212297034e-05,0.00294627593752117
"c22_0",0.00175229307242234,4.55678318165895e-06,0.00260046863927833
"a_17_0",0.000864563282034035,2.18925842015154e-06,0.00253221304402487
"c12_0",0.00296647807772848,6.86184047831634e-06,0.00231312698038566
"c16_3w4",0.00403955736620387,8.8997599628616e-06,0.00220315226547335
"c22_4w6",0.00152412269503764,2.4380504777104e-06,0.00159964186981035
"i_17_0",0.00112368280015182,1.77910663329651e-06,0.00158328189508297
"c20_3w6",0.000836315510887333,1.19346304205064e-06,0.00142704879499888
"c18_3w6",0.00349402128454691,4.82710024680999e-06,0.00138153143718927
"c17_0",0.00147149185028537,1.85221656336325e-06,0.00125873382377486
"c20_4w3",0.00487468483277295,5.42520383635515e-06,0.00111293427625946
"c16_1w9",0.00278357034556574,1.92915226252919e-06,0.00069304958130566
"c16_2w7",0.00057242452030965,3.33451297146091e-07,0.000582524481945169
"c15_0",0.00129299393058045,5.82627564937601e-07,0.000450603480154038
"c14_1n5",0.000959029453602312,4.27624417259562e-07,0.000445892892708682
"i_15_0",0.00124006856606601,5.26522940200871e-07,0.000424591796461071
"i_16_0",0.000300769683291426,9.05030477639432e-08,0.000300904821169266
"a_15_0",0.000423833158295985,1.02382068759388e-07,0.000241562196716778
"i_14_0",0.000326880486018298,6.52873489031471e-08,0.000199728499239604
"c15_1w7",0,0,NA
"c16_1w6",0,0,NA
"c16_1w8",0,0,NA
"c16_2w4",0,0,NA
"c16_3w6",0,0,NA
"c17_1n7",0,0,NA
"c18_2w6t",0,0,NA
"c18_4w4",0,0,NA
"c18_5w3",0,0,NA
"c20_1w7",0,0,NA
"c20_1w9",0,0,NA
"c20_2_5_11",0,0,NA
"c20_2_5_13",0,0,NA
"c22_1w7",0,0,NA
"c22_1w9",0,0,NA
"c22_2w6",0,0,NA
"c22_3w3",0,0,NA
"c22_4w3",0,0,NA
"c24_0",0,0,NA
