"site","Microplastic_density_microplastics_per_L","Fragment_density_microplastics_per_L","Fiber_density_microplastics_per_L","Bead_density_microplastics_per_L"
"BGO-1",0.00119047619047619,0.00119047619047619,0,0
"BGO-2",0.00214285714285714,0.000238095238095238,0.0019047619047619,0
"BGO-3",0,0,0,0
"BK-1",0.000833333333333333,0,0.000833333333333333,0
"BK-2",0.00142857142857143,0.000952380952380951,0.000476190476190477,0
"BK-3",0.00428571428571429,0.0030952380952381,0.00119047619047619,0
"EM-1",0.000238095238095238,0,0.000238095238095238,0
"KD-1",0.000476190476190476,0,0.000476190476190476,0
"KD-2",0.00261904761904762,0.000714285714285713,0.0019047619047619,0
"LI-1",0.00476190476190476,0.00380952380952381,0.000238095238095238,0.000714285714285715
"LI-2",0.00261904761904762,0.00142857142857143,0.00119047619047619,0
"LI-3",0.00119047619047619,0.000476190476190477,0,0.000714285714285715
"MS-1",0.000238095238095238,0,0.000238095238095238,0
"OS-1",0.00238095238095238,0.00238095238095238,0,0
"OS-2",0.00214285714285714,0.000238095238095238,0.00190476190476191,0
"OS-3",0.00214285714285714,0,0.00214285714285714,0
"SM-1",0.00166666666666667,0,0.00166666666666667,0
