"Site","Microplastic_density_microplastics_per_L","Fragment_density_microplastics_per_L","Fiber_density_microplastics_per_L","Bead_density_microplastics_per_L"
"BGO-1",3.57142857142857,1.19047619047619,2.38095238095238,0
"BGO-2",5.71428571428571,0.952380952380952,4.76190476190476,0
"BGO-3",2.85714285714286,1.26984126984127,1.58730158730159,0
"BK-1",7.61904761904762,2.61904761904762,5,0
"BK-2",4.04761904761905,2.85714285714286,1.19047619047619,0
"BK-3",6.19047619047619,3.0952380952381,3.0952380952381,0
"EM-1",5.47619047619048,0,5.47619047619048,0
"KD-1",5.47619047619048,0.238095238095238,5.23809523809524,0
"KD-2",4.04761904761905,0.714285714285714,3.33333333333333,0
"LI-1",6.19047619047619,3.80952380952381,1.66666666666667,0.714285714285714
"LI-2",4.52380952380952,1.42857142857143,3.0952380952381,0
"LI-3",4.28571428571429,1.19047619047619,2.38095238095238,0.714285714285714
"MS-1",3.57142857142857,0.714285714285714,2.85714285714286,0
"OS-1",9.52380952380952,2.38095238095238,7.14285714285714,0
"OS-2",3.57142857142857,0.238095238095238,3.33333333333333,0
"OS-3",3.33333333333333,0.476190476190476,2.85714285714286,0
"SM-1",4.52380952380952,0,4.52380952380952,0
